Player Name,C,L,R,D,CON,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,OV,Age,Contract,Salary,Link
Mark Stone,,,X,,100.00,71,52,99,83,88,96,82,99,55,94,86,82,68,99,99,0,40,91,34,2,"9,500,000$",NHL Link
Zach Werenski,,,,X,100.00,71,38,93,91,84,99,93,91,35,99,77,84,74,73,85,0,43,91,28,3,"9,583,333$",Link / NHL Link
Tom Wilson,,,X,,100.00,96,99,62,92,96,97,91,84,56,82,85,80,60,99,99,0,43,91,32,6,"6,500,000$",NHL Link
Mika Zibanejad,X,,,,100.00,76,35,95,87,80,99,98,98,90,89,86,78,76,96,99,0,40,91,33,5,"8,500,000$",NHL Link
Sebastian Aho,X,,,,100.00,64,35,84,86,67,97,97,97,89,96,82,77,71,91,91,0,43,90,28,7,"9,750,000$",NHL Link
Matt Boldy,,X,,,100.00,69,35,91,86,77,99,94,99,57,90,91,84,97,64,55,0,43,90,25,5,"7,000,000$",NHL Link
John Carlson,,,,X,100.00,72,40,84,84,86,97,90,85,40,93,72,93,64,99,99,0,40,90,36,1,"8,000,000$",NHL Link
Kyle Connor,,X,,,100.00,60,35,97,88,64,99,99,92,55,95,89,70,84,88,88,0,43,90,29,1,"7,142,857$",NHL Link
Jake Guentzel,,X,,,100.00,60,35,83,86,56,98,98,99,64,94,90,76,84,99,87,0,43,90,31,6,"9,000,000$",Link / NHL Link
Kirill Kaprizov,,X,,,100.00,69,35,90,87,71,99,96,99,55,90,95,70,90,74,72,0,43,90,29,1,"9,000,000$",NHL Link
Dylan Larkin,X,,,,100.00,69,35,84,91,78,98,93,94,99,83,89,74,77,62,99,0,43,90,29,6,"8,700,000$",NHL Link
Mitchell Marner,,,X,,100.00,60,35,93,82,60,98,98,97,62,98,79,83,89,99,90,0,43,90,29,8,"12,000,000$",NHL Link
William Nylander,,X,,,100.00,62,35,94,93,71,97,86,93,56,95,86,71,88,98,91,0,43,90,30,7,"11,500,000$",NHL Link
Evan Bouchard,,,,X,100.00,60,35,89,83,72,99,99,99,35,99,77,88,64,74,58,0,43,89,26,4,"10,500,000$",NHL Link
Macklin Celebrini,X,,,,100.00,62,35,86,90,67,99,99,99,90,99,93,78,87,38,58,0,40,89,20,2,"975,000$",NHL Link
Rasmus Dahlin,,,,X,100.00,70,56,72,85,81,99,95,93,35,98,74,82,65,55,92,0,43,89,26,7,"11,000,000$",NHL Link
Nico Hischier,X,,,,100.00,68,42,91,90,75,99,99,91,99,85,83,79,62,66,93,0,43,89,27,2,"7,250,000$",NHL Link
Bo Horvat,X,,,,100.00,79,39,86,96,86,99,88,88,97,79,87,77,89,77,98,0,40,89,31,6,"8,500,000$",NHL Link
Erik Karlsson,,,,X,100.00,60,35,91,98,65,98,93,94,35,95,71,83,65,99,98,0,40,89,36,2,"11,500,000$",NHL Link
Clayton Keller,,,X,,100.00,60,35,86,91,52,97,99,96,56,99,82,74,67,63,97,0,43,89,27,3,"7,150,000$",NHL Link
Adrian Kempe,,,X,,100.00,78,35,72,99,79,96,98,86,58,85,90,75,99,83,89,0,40,89,29,1,"5,500,000$",NHL Link
Auston Matthews,X,,,,100.00,74,40,94,83,88,99,82,84,96,80,83,83,91,96,97,0,43,89,28,3,"13,250,000$",NHL Link
Brock Nelson,X,,,,100.00,68,36,86,90,83,97,98,89,95,82,89,81,68,99,99,0,40,89,34,3,"7,500,000$",NHL Link
Jake Sanderson,,,,X,100.00,65,35,99,99,77,99,87,93,35,89,73,95,50,53,66,0,43,89,23,7,"8,050,000$",Link / NHL Link
Moritz Seider,,,,X,100.00,81,47,76,80,83,99,99,93,35,93,68,95,60,46,72,0,43,89,25,6,"8,550,000$",Link / NHL Link
Juraj Slafkovsky,,,X,,100.00,87,42,79,93,94,95,99,96,56,89,84,76,64,51,50,0,43,89,22,8,"7,600,000$",NHL Link
Andrei Svechnikov,,,X,,100.00,82,35,65,93,81,92,97,95,55,86,84,69,94,82,65,0,43,89,26,4,"7,750,000$",NHL Link
Mathew Barzal,X,,,,100.00,60,36,84,97,67,99,98,91,74,95,76,79,88,78,68,0,43,88,29,6,"9,150,000$",NHL Link
Drake Batherson,,,X,,100.00,80,46,89,86,84,93,97,96,64,86,88,69,87,61,60,0,43,88,28,2,"4,975,000$",NHL Link
Jakob Chychrun,,,,X,100.00,72,58,73,90,82,97,97,86,35,83,83,88,66,63,69,0,43,88,28,8,"9,000,000$",NHL Link
Charlie Coyle,X,,,,100.00,86,42,99,90,91,94,99,80,91,85,77,83,93,99,99,0,40,88,34,1,"5,250,000$",NHL Link
Dylan Cozens,X,,,,100.00,93,46,78,99,87,93,99,94,85,81,82,69,61,56,59,0,43,88,25,5,"7,100,000$",NHL Link
Alex DeBrincat,,,X,,100.00,60,35,95,89,54,95,99,95,56,89,91,78,81,59,73,0,43,88,28,2,"7,875,000$",NHL Link
Joel Eriksson-Ek,X,,,,100.00,79,35,88,87,83,97,89,91,93,83,76,76,62,91,83,0,43,88,29,4,"5,250,000$",Link / NHL Link
Jack Hughes,X,,,,100.00,60,35,99,89,55,99,82,94,72,96,84,76,80,53,73,0,43,88,25,5,"8,000,000$",NHL Link
Wyatt Johnston,X,,,,100.00,61,35,87,85,67,98,99,99,81,87,94,74,82,61,53,0,43,88,23,5,"8,400,000$",Link / NHL Link
Jackson LaCombe,,,,X,100.00,73,46,95,89,81,99,99,87,35,92,68,92,50,50,62,0,43,88,25,1,"925,000$",NHL Link
Kirill Marchenko,,,X,,100.00,69,35,87,99,79,96,94,90,55,88,83,79,98,46,51,0,43,88,25,2,"3,850,000$",NHL Link
J.T. Miller,X,,,,100.00,87,51,85,92,87,98,88,88,95,86,76,71,82,99,99,0,40,88,33,5,"8,000,000$",NHL Link
Alexander Ovechkin,,X,,,100.00,97,41,87,78,99,93,99,94,55,81,85,64,87,99,99,0,40,88,40,1,"9,500,000$",NHL Link
Sam Reinhart,X,,,,100.00,65,35,97,85,73,99,85,97,68,84,86,73,90,77,95,0,43,88,30,7,"8,625,000$",NHL Link
Steven Stamkos,X,,,,100.00,70,35,75,91,71,94,99,93,85,76,95,70,85,99,99,0,40,88,36,3,"8,000,000$",NHL Link
John Tavares,X,,,,100.00,78,38,90,88,84,94,99,89,99,87,85,67,74,99,99,0,40,88,35,4,"4,389,280$",NHL Link
Robert Thomas,X,,,,100.00,65,35,89,91,75,96,85,85,89,89,83,81,71,74,79,0,43,88,26,6,"8,125,000$",NHL Link
Brady Tkachuk,,X,,,100.00,92,79,77,82,92,92,82,93,69,88,79,68,63,60,91,0,43,88,26,3,"8,205,714$",NHL Link
Quinton Byfield,X,,,,100.00,82,44,86,99,97,98,97,80,86,77,80,81,66,69,53,0,43,87,23,4,"6,250,000$",Link / NHL Link
Cole Caufield,,X,,,100.00,60,35,98,87,50,94,98,98,55,85,99,72,99,61,55,0,43,87,25,6,"7,850,000$",NHL Link
Nikolaj Ehlers,,X,,,100.00,60,35,98,97,53,91,99,94,56,90,82,71,63,93,76,0,43,87,30,6,"8,500,000$",NHL Link
Morgan Geekie,X,,,,100.00,82,38,94,83,88,93,98,92,68,79,91,70,68,74,57,0,43,87,27,6,"5,500,000$",NHL Link
Brandon Hagel,,X,,,100.00,60,48,81,95,68,97,90,84,56,87,90,85,61,74,59,0,43,87,27,7,"6,500,000$",Link / NHL Link
Tomas Hertl,X,,,,100.00,83,50,90,82,89,93,99,94,99,83,79,70,64,98,82,0,40,87,32,5,"8,137,500$",NHL Link
Quinn Hughes,,,,X,100.00,60,35,92,90,56,99,93,99,35,99,66,78,61,65,87,0,43,87,26,2,"7,850,000$",NHL Link
Seth Jarvis,X,,,,100.00,62,35,97,96,58,96,90,93,66,84,87,80,84,68,55,0,43,87,24,7,"7,420,087$",Link / NHL Link
Roman Josi,,,,X,100.00,64,35,89,78,75,99,88,92,35,90,72,80,68,99,99,0,40,87,36,3,"9,059,000$",NHL Link
Matthew Knies,,X,,,100.00,97,53,91,86,99,95,97,87,55,89,79,71,50,58,48,0,43,87,23,6,"7,750,000$",NHL Link
Yevgeni Malkin,X,,,,100.00,68,52,71,79,86,93,78,94,70,93,78,74,83,99,99,0,40,87,39,1,"6,100,000$",NHL Link
Artemi Panarin,,X,,,100.00,60,35,95,82,55,99,96,94,65,98,82,68,96,99,95,0,40,87,34,1,"11,642,857$",NHL Link
Lucas Raymond,,X,,,100.00,60,35,97,89,63,95,97,95,65,94,81,73,90,45,72,0,43,87,24,7,"8,075,000$",NHL Link
Bryan Rust,,,X,,100.00,61,35,90,90,65,98,91,94,55,85,84,78,77,98,88,0,40,87,34,3,"5,125,000$",NHL Link
Travis Sanheim,,,,X,100.00,78,43,93,88,93,99,98,70,35,77,70,95,50,69,86,0,43,87,30,6,"6,250,000$",NHL Link
Nick Schmaltz,X,,,,100.00,60,35,91,97,61,97,99,91,84,87,88,85,71,65,71,0,40,87,30,1,"5,850,000$",NHL Link
Vincent Trocheck,X,,,,100.00,81,35,73,92,67,99,87,90,95,87,74,78,96,89,97,0,40,87,32,4,"5,625,000$",NHL Link
Alex Tuch,,,X,,100.00,80,53,77,91,91,94,97,78,57,82,85,92,86,79,83,0,40,87,30,1,"4,750,000$",NHL Link
Jesper Bratt,,X,,,100.00,60,35,98,92,54,95,99,89,55,93,78,71,98,67,84,0,43,86,27,6,"7,875,000$",NHL Link
Noah Dobson,,,,X,100.00,69,35,86,85,81,96,97,74,35,84,70,99,62,72,60,0,43,86,26,8,"9,500,000$",NHL Link
Mattias Ekholm,,,,X,100.00,81,43,86,82,95,93,99,68,35,83,66,91,60,99,87,0,40,86,36,1,"6,250,000$",NHL Link
Dylan Guenther,,,X,,100.00,65,35,87,96,70,93,97,93,56,82,91,70,61,48,47,0,43,86,23,8,"7,142,875$",NHL Link
Roope Hintz,X,,,,100.00,78,40,94,99,88,93,76,92,90,83,74,68,66,81,78,0,40,86,29,6,"8,450,000$",NHL Link
Zach Hyman,,,X,,100.00,71,35,87,92,78,98,80,95,55,76,87,66,60,99,74,0,40,86,34,3,"5,500,000$",NHL Link
Travis Konecny,,,X,,100.00,71,35,78,86,65,97,95,84,56,88,82,74,83,69,89,0,43,86,29,8,"8,750,000$",NHL Link
Chris Kreider,,X,,,100.00,86,42,79,89,97,93,93,88,56,79,79,69,64,99,87,0,40,86,35,2,"6,500,000$",NHL Link
Anthony Mantha,,,X,,100.00,85,55,82,88,99,89,98,83,56,81,86,73,68,77,67,0,40,86,31,1,"2,500,000$",NHL Link
Josh Morrissey,,,,X,100.00,62,35,87,81,68,99,95,87,35,88,72,82,50,90,90,0,43,86,31,3,"6,250,000$",NHL Link
Ryan Nugent-Hopkins,X,,,,100.00,60,38,90,87,68,97,91,99,72,85,77,71,87,99,99,0,40,86,33,4,"5,125,000$",NHL Link
Mattias Samuelsson,,,,X,100.00,92,43,88,88,98,97,96,65,35,79,72,96,50,53,66,0,43,86,26,5,"4,285,714$",NHL Link
Alexander Wennberg,X,,,,100.00,60,35,96,91,67,98,97,87,92,85,77,85,66,92,97,0,40,86,31,1,"5,000,000$",NHL Link
Pavel Zacha,X,,,,100.00,75,39,85,85,88,92,96,91,89,84,85,72,65,74,73,0,40,86,29,2,"4,750,000$",NHL Link
Connor Bedard,X,,,,100.00,60,35,81,92,62,99,89,92,78,92,85,69,87,40,62,0,40,85,20,1,"950,000$",NHL Link
Sam Bennett,X,,,,100.00,73,35,63,86,73,95,94,87,86,82,82,73,66,99,77,0,40,85,30,8,"8,000,000$",NHL Link
Leo Carlsson,X,,,,100.00,66,48,95,92,81,96,89,90,83,87,84,76,88,46,61,0,40,85,21,1,"950,000$",NHL Link
Aaron Ekblad,,,,X,100.00,82,55,73,79,92,96,91,74,40,76,65,86,60,85,94,0,43,85,30,8,"6,100,000$",NHL Link
Justin Faulk,,,,X,100.00,77,37,79,87,82,96,96,76,35,76,74,87,60,88,99,0,40,85,34,2,"6,500,000$",NHL Link
Dougie Hamilton,,,,X,100.00,86,45,74,76,99,94,95,80,35,78,70,78,71,99,84,0,40,85,33,3,"9,000,000$",NHL Link
Lane Hutson,,,,X,100.00,60,35,88,92,48,98,99,94,35,99,71,93,63,50,44,0,40,85,22,1,"950,000$",NHL Link
Seth Jones,,,,X,100.00,74,40,94,81,89,98,75,87,35,80,67,79,60,88,84,0,40,85,31,5,"9,500,000$",NHL Link
Brad Marchand,,X,,,100.00,60,35,86,87,53,93,75,94,55,82,86,69,90,99,99,0,40,85,38,6,"5,250,000$",NHL Link
Ryan McLeod,X,,,,100.00,65,35,93,99,80,93,98,76,90,87,73,84,50,72,56,0,43,85,26,4,"5,000,000$",NHL Link
Colton Parayko,,,,X,100.00,87,56,93,86,99,96,95,63,35,70,63,98,50,92,93,0,40,85,33,5,"6,500,000$",NHL Link
Alexei Protas,X,,,,100.00,90,45,95,94,99,94,94,69,66,79,82,80,63,55,52,0,43,85,25,4,"3,375,000$",NHL Link
Darren Raddysh,,,,X,100.00,71,55,71,77,77,96,92,96,35,94,79,77,50,69,48,0,40,85,30,1,"975,000$",NHL Link
Rickard Rakell,,X,,,100.00,72,35,99,90,77,96,82,89,59,78,80,75,88,95,82,0,40,85,33,3,"5,000,000$",NHL Link
Morgan Rielly,,,,X,100.00,74,50,87,87,84,94,96,77,35,77,70,81,60,99,99,0,40,85,32,5,"7,500,000$",NHL Link
Jordan Staal,X,,,,100.00,95,55,93,90,96,90,93,71,99,71,79,79,50,99,99,0,40,85,37,2,"2,900,000$",NHL Link
Dylan Strome,X,,,,100.00,62,35,81,81,77,94,97,89,99,86,76,73,92,69,82,0,43,85,29,3,"5,000,000$",NHL Link
Nikita Zadorov,,,,X,100.00,99,99,50,93,99,93,98,63,35,73,62,91,50,87,79,0,40,85,31,5,"5,000,000$",NHL Link
Rasmus Andersson,,,,X,100.00,66,43,72,81,76,97,98,79,35,80,73,92,72,74,83,0,40,84,29,1,"4,550,000$",NHL Link
Brent Burns,,,,X,100.00,77,44,84,82,97,90,99,67,35,75,71,87,68,99,99,0,40,84,41,1,"1,000,000$",NHL Link
Lawson Crouse,,X,,,100.00,99,63,83,92,95,91,98,70,56,73,81,81,60,64,86,0,40,84,29,2,"4,300,000$",NHL Link
Matt Duchene,X,,,,100.00,71,35,99,80,77,91,79,84,78,83,78,67,99,99,99,0,40,84,35,4,"4,500,000$",NHL Link
Brock Faber,,,,X,100.00,65,42,86,91,74,99,97,75,35,84,72,95,50,58,48,0,43,84,23,8,"8,500,000$",NHL Link
Adam Fantilli,X,,,,100.00,82,56,88,98,82,96,99,84,87,83,79,73,87,41,47,0,40,84,21,1,"950,000$",NHL Link
Adam Fox,,,,X,100.00,60,35,90,75,58,98,78,95,35,93,69,83,62,69,76,0,43,84,28,4,"9,500,000$",NHL Link
Cutter Gauthier,,X,,,100.00,72,35,90,97,80,92,94,89,59,79,92,69,78,46,44,0,40,84,22,1,"950,000$",NHL Link
Noah Hanifin,,,,X,100.00,73,40,92,92,87,96,90,70,35,78,62,89,62,83,80,0,40,84,29,7,"7,350,000$",NHL Link
Thomas Harley,,,,X,100.00,72,39,86,83,86,98,89,74,35,81,67,93,60,71,49,0,43,84,24,1,"4,000,000$",NHL Link
Victor Hedman,,,,X,100.00,86,45,97,81,99,90,60,75,35,77,61,78,68,99,99,0,40,84,35,4,"8,000,000$",NHL Link
Patrick Kane,,,X,,100.00,60,35,92,88,53,93,87,90,55,90,75,66,99,99,99,0,40,84,37,1,"3,000,000$",NHL Link
Anze Kopitar,X,,,,100.00,77,43,97,79,95,96,87,81,99,79,71,80,85,99,99,0,40,84,38,1,"7,000,000$",NHL Link
Esa Lindell,,,,X,100.00,72,40,91,75,87,97,99,67,35,77,66,99,50,91,91,0,40,84,32,5,"5,250,000$",NHL Link
Hampus Lindholm,,,,X,100.00,71,42,70,85,89,95,87,71,35,75,65,89,60,99,95,0,40,84,32,5,"6,500,000$",NHL Link
Josh Manson,,,,X,100.00,94,98,57,83,92,88,97,64,35,78,65,91,60,99,73,0,40,84,34,1,"4,500,000$",NHL Link
Mike Matheson,,,,X,100.00,66,35,86,89,75,99,96,66,35,80,67,96,62,86,88,0,40,84,32,1,"4,875,000$",NHL Link
K'Andre Miller,,,,X,100.00,78,39,71,90,89,96,91,70,40,80,67,88,67,66,59,0,43,84,26,8,"7,500,000$",NHL Link
Valeri Nichushkin,,,X,,100.00,73,38,95,98,86,93,91,75,55,82,74,76,89,99,69,0,40,84,31,5,"6,125,000$",NHL Link
Darnell Nurse,,,,X,100.00,86,85,67,91,92,94,99,64,35,71,65,89,50,95,93,0,40,84,31,5,"9,250,000$",NHL Link
Elias Pettersson,X,,,,100.00,62,35,98,88,68,96,93,90,91,85,72,83,88,61,80,0,40,84,27,7,"11,600,000$",NHL Link
Brayden Point,X,,,,100.00,60,35,95,99,55,94,84,88,78,84,75,69,95,97,74,0,40,84,30,5,"9,500,000$",NHL Link
Chandler Stephenson,X,,,,100.00,63,35,97,95,71,96,97,84,97,82,75,79,65,86,70,0,40,84,32,6,"6,250,000$",NHL Link
Owen Tippett,,,X,,100.00,88,35,94,99,83,92,98,77,55,75,81,76,64,61,58,0,40,84,27,7,"6,200,000$",NHL Link
Jacob Trouba,,,,X,100.00,85,49,88,77,88,97,98,67,35,77,68,93,50,97,84,0,40,84,32,1,"8,000,000$",NHL Link
Gabriel Vilardi,X,,,,100.00,71,40,98,79,86,95,99,91,67,86,84,67,84,68,54,0,40,84,26,6,"7,500,000$",NHL Link
Ivan Barbashyov,X,,,,100.00,81,35,99,86,77,91,99,73,66,85,80,72,50,98,71,0,40,83,30,3,"5,000,000$",NHL Link
Anthony Cirelli,X,,,,100.00,63,50,82,86,70,93,90,73,86,81,81,86,60,95,82,0,40,83,28,6,"6,250,000$",NHL Link
Ian Cole,,,,X,100.00,89,62,77,78,97,89,99,63,35,73,63,95,50,99,89,0,40,83,37,1,"2,800,000$",NHL Link
Jake DeBrusk,,X,,,100.00,68,35,96,97,74,92,98,89,56,73,77,67,94,87,69,0,40,83,29,6,"5,500,000$",NHL Link
Pavel Dorofeyev,,X,,,100.00,61,35,88,86,69,93,99,96,55,78,88,69,89,61,48,0,40,83,25,1,"1,835,000$",NHL Link
Jordan Eberle,,,X,,100.00,63,35,89,81,65,95,97,84,56,79,81,73,90,91,99,0,40,83,36,1,"4,750,000$",NHL Link
Vladislav Gavrikov,,,,X,100.00,77,42,76,87,90,98,99,71,35,74,72,85,50,78,63,0,40,83,30,7,"7,000,000$",NHL Link
Taylor Hall,,X,,,100.00,73,35,87,92,80,87,97,75,56,80,75,72,69,99,89,0,40,83,34,3,"3,166,667$",NHL Link
Filip Hronek,,,,X,100.00,71,35,87,82,66,99,99,83,35,87,67,84,63,58,79,0,40,83,28,7,"7,250,000$",NHL Link
Marcus Johansson,X,,,,100.00,67,35,97,93,73,89,93,75,65,83,75,74,62,99,92,0,40,83,35,1,"800,000$",NHL Link
Nazem Kadri,X,,,,100.00,60,35,95,83,64,96,95,88,84,83,73,67,87,99,99,0,40,83,35,4,"7,000,000$",NHL Link
Alex Laferriere,,,X,,100.00,98,35,95,97,83,94,99,73,64,75,77,78,63,58,48,0,40,83,24,3,"4,100,000$",NHL Link
Anders Lee,,X,,,100.00,91,86,86,84,99,89,99,75,61,75,76,68,61,89,99,0,40,83,35,1,"7,000,000$",NHL Link
Kris Letang,,,,X,100.00,74,35,81,83,74,95,93,75,35,82,64,82,77,99,99,0,40,83,39,3,"6,100,000$",NHL Link
Elias Lindholm,X,,,,100.00,67,35,82,75,75,94,89,88,96,82,76,76,67,84,99,0,40,83,31,6,"7,750,000$",NHL Link
Timo Meier,,,X,,100.00,89,39,93,88,86,95,95,77,57,74,79,74,64,79,73,0,40,83,29,6,"8,800,000$",NHL Link
Dmitri Orlov,,,,X,100.00,84,35,77,76,80,94,99,83,35,83,63,75,60,99,86,0,40,83,34,2,"6,500,000$",NHL Link
Ivan Provorov,,,,X,100.00,76,40,85,83,87,99,99,70,35,75,67,93,60,64,77,0,40,83,29,7,"8,500,000$",NHL Link
Ryan Pulock,,,,X,100.00,77,41,91,86,88,93,94,64,35,77,63,96,50,86,84,0,40,83,31,5,"6,150,000$",NHL Link
Matthew Schaefer (R),,,,X,100.00,60,35,91,99,67,99,99,87,35,84,78,87,50,36,39,0,40,83,18,3,"975,000$",Link / NHL Link
Brayden Schenn,X,,,,100.00,87,98,76,86,79,92,97,77,87,74,76,68,72,99,99,0,40,83,34,3,"6,500,000$",NHL Link
Vladimir Tarasenko,,,X,,100.00,78,38,99,81,83,88,93,81,55,77,80,68,81,99,84,0,40,83,34,1,"4,750,000$",NHL Link
Shea Theodore,,,,X,100.00,60,35,90,83,73,97,89,73,35,81,70,84,79,99,69,0,43,83,30,7,"7,425,000$",NHL Link
MacKenzie Weegar,,,,X,100.00,85,54,65,82,79,96,97,73,35,76,63,92,50,76,84,0,40,83,32,6,"6,250,000$",NHL Link
Mats Zuccarello,,,X,,100.00,60,35,94,75,52,95,81,94,56,90,76,68,99,99,87,0,40,83,38,1,"4,125,000$",NHL Link
Mikael Backlund,X,,,,100.00,67,35,93,84,75,94,99,71,94,77,74,81,62,94,99,0,40,82,37,1,"4,500,000$",NHL Link
Tyler Bertuzzi,,X,,,100.00,68,35,90,75,77,95,97,89,57,78,86,67,61,66,81,0,40,82,31,3,"5,500,000$",NHL Link
Brock Boeser,,,X,,100.00,71,35,98,78,79,97,93,90,58,78,78,65,77,64,84,0,40,82,29,7,"7,250,000$",NHL Link
Philip Broberg,,,,X,100.00,64,35,97,96,77,97,98,71,35,79,65,87,50,64,62,0,40,82,25,1,"4,580,917$",NHL Link
Bowen Byram,,,,X,100.00,69,35,81,89,78,96,99,74,35,81,72,83,74,61,53,0,40,82,25,2,"6,250,000$",NHL Link
Ben Chiarot,,,,X,100.00,94,53,66,80,95,93,99,62,35,67,64,91,50,91,79,0,40,82,35,1,"4,750,000$",NHL Link
Sean Couturier,X,,,,100.00,81,39,86,80,90,91,96,68,94,76,71,81,69,92,99,0,40,82,33,5,"7,750,000$",NHL Link
Brenden Dillon,,,,X,100.00,99,98,62,85,99,87,99,62,35,68,64,82,50,99,92,0,40,82,35,2,"4,000,000$",NHL Link
Christian Dvorak,X,,,,100.00,66,42,90,90,75,95,97,74,94,82,75,79,67,70,68,0,40,82,30,1,"5,400,000$",NHL Link
Joel Edmundson,,,,X,100.00,84,55,90,78,95,90,99,65,35,74,62,86,50,96,72,0,40,82,33,3,"3,850,000$",NHL Link
Kevin Fiala,,,X,,100.00,69,35,86,80,72,96,78,87,55,77,77,69,88,99,73,0,40,82,29,4,"7,875,000$",NHL Link
Claude Giroux,,X,,,100.00,63,35,92,82,63,91,99,80,83,83,72,77,78,99,99,0,40,82,38,1,"2,000,000$",NHL Link
Shayne Gostisbehere,,,,X,100.00,60,35,94,78,60,91,78,90,35,89,72,77,62,88,75,0,40,82,33,2,"3,200,000$",NHL Link
Mikael Granlund,X,,,,100.00,62,35,94,85,65,96,80,84,80,77,78,76,77,99,87,0,40,82,34,3,"7,000,000$",NHL Link
Dylan Holloway,,X,,,100.00,83,59,98,87,80,94,81,79,56,82,79,73,66,55,47,0,40,82,24,1,"2,290,457$",NHL Link
Boone Jenner,X,,,,100.00,84,57,79,84,82,92,87,69,75,78,72,79,63,85,99,0,40,82,33,1,"3,750,000$",NHL Link
Alexis Lafreniere,,,X,,100.00,70,35,94,87,75,93,99,85,56,82,81,72,64,61,60,0,40,82,24,7,"7,450,000$",NHL Link
Gabriel Landeskog,,X,,,100.00,82,50,73,84,83,91,82,77,71,76,73,74,68,99,99,0,40,82,33,4,"7,000,000$",NHL Link
Adam Larsson,,,,X,100.00,79,37,76,80,85,94,99,63,35,72,66,92,60,88,99,0,40,82,33,4,"5,250,000$",NHL Link
Anton Lundell,X,,,,100.00,69,35,89,81,73,96,85,84,90,79,77,74,92,64,54,0,43,82,24,5,"5,000,000$",NHL Link
Jake McCabe,,,,X,100.00,78,57,73,86,81,96,97,64,35,73,65,99,60,76,74,0,40,82,32,5,"4,491,898$",NHL Link
Sean Monahan,X,,,,100.00,69,35,98,84,80,92,96,76,92,76,72,77,74,84,99,0,40,82,31,4,"5,500,000$",NHL Link
Tyler Myers,,,,X,100.00,87,47,75,84,99,91,92,62,35,67,61,87,62,99,99,0,40,82,36,2,"1,500,000$",NHL Link
Jamie Oleksiak,,,,X,100.00,99,69,83,81,99,87,96,62,35,67,66,87,50,82,76,0,40,82,33,1,"4,600,000$",NHL Link
Beckett Sennecke (R),,,X,,100.00,76,35,75,95,83,93,99,82,65,85,78,69,75,42,39,0,40,82,20,3,"942,500$",NHL Link
