Goalie Name,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,OV,Age,Contract,Salary,Link
Joonas Korpisalo,70,76,75,76,69,74,77,74,74,60,64,73,62,0,40,77,32,3,"4,000,000$",NHL Link
David Rittich,73,75,76,75,71,74,74,74,76,60,77,74,56,0,40,77,33,1,"1,000,000$",NHL Link
Akira Schmid,74,78,74,81,72,76,77,78,76,67,66,56,42,0,40,77,26,1,"875,000$",NHL Link
Yaroslav Askarov,66,89,82,65,65,81,79,78,79,60,78,44,40,0,43,76,24,2,"2,000,000$",NHL Link
Devin Cooley,74,76,77,76,74,71,75,77,75,71,67,48,38,0,40,76,29,1,"775,000$",NHL Link
Tristan Jarry,68,78,75,68,69,77,73,75,74,65,66,76,61,0,40,76,31,3,"5,375,000$",NHL Link
Kevin Lankinen,65,89,83,66,66,74,75,75,78,72,94,55,52,0,40,76,31,5,"4,500,000$",NHL Link
Justus Annunen,73,73,75,80,71,71,77,74,77,62,60,47,42,0,40,75,26,1,"837,500$",NHL Link
Dennis Hildeby,72,86,68,89,74,67,72,75,73,63,51,44,37,0,40,75,24,0,0$,NHL Link
Adin Hill,66,73,73,88,68,70,73,70,70,62,69,70,52,0,40,75,30,6,"6,250,000$",NHL Link
Elvis Merzlikins,67,75,75,69,66,74,75,73,73,74,72,60,57,0,40,75,32,2,"5,400,000$",NHL Link
Anthony Stolarz,66,72,72,89,65,70,73,75,74,60,52,69,49,0,40,75,32,1,"2,500,000$",NHL Link
Daniil Tarasov,70,78,78,77,70,73,78,76,77,60,64,48,43,0,40,75,27,1,"1,050,000$",NHL Link
Thatcher Demko,68,67,71,73,69,69,75,73,72,68,68,66,56,0,40,74,30,1,"5,000,000$",NHL Link
Brandon Halverson,72,88,73,89,69,75,69,71,68,60,60,56,36,0,40,74,30,0,0$,NHL Link
Jacob Fowler (R),70,87,70,76,70,69,72,74,75,62,53,44,36,0,40,73,21,0,0$,NHL Link
Jonas Johansson,65,71,73,87,65,71,73,70,70,60,63,54,44,0,40,73,30,2,"1,250,000$",NHL Link
Matt Murray,72,54,62,87,71,61,66,67,66,65,64,86,58,0,40,73,32,1,"1,000,000$",NHL Link
James Reimer,68,63,67,70,67,67,68,68,71,60,60,84,79,0,40,73,38,1,"850,000$",NHL Link
Samuel Ersson,68,78,75,71,69,73,70,71,69,62,81,47,47,0,40,72,26,1,"1,450,000$",NHL Link
Ville Husso,64,81,70,77,65,69,68,69,71,60,76,65,48,0,40,72,31,2,"2,200,000$",NHL Link
Remi Poirier,65,93,75,72,63,75,69,73,72,57,63,45,35,0,40,72,24,0,0$,NHL Link
Eric Comrie,64,71,74,60,64,71,71,74,72,60,72,62,43,0,40,71,30,1,"825,000$",NHL Link
Sebastian Cossa,66,83,69,86,66,75,71,65,67,58,53,42,36,0,40,71,23,1,"863,333$",NHL Link
Carter Hart,65,68,70,62,67,69,69,72,70,60,75,61,55,0,40,71,27,2,"2,000,000$",NHL Link
Charlie Lindgren,65,68,70,60,63,70,71,72,69,64,69,69,49,0,40,71,32,3,"3,000,000$",NHL Link
Samuel Montembeault,63,73,72,72,65,70,69,68,71,60,69,60,54,0,40,71,29,2,"3,150,000$",NHL Link
Matthew Murray,67,89,75,65,68,73,68,69,71,56,36,48,36,0,40,71,28,0,0$,NHL Link
Victor Ostman,71,81,65,78,71,63,68,67,68,70,60,44,36,0,40,71,25,0,0$,NHL Link
Arsenii Sergeev (R),72,75,61,71,72,61,71,71,70,75,60,41,36,0,40,71,23,0,0$,NHL Link
Arvid Soderblom,64,72,73,65,64,70,74,72,73,60,66,48,44,0,40,71,26,2,"2,750,000$",NHL Link
Nikita Tolopilo,62,83,68,89,64,67,69,69,71,60,66,44,37,0,40,71,26,0,0$,NHL Link
Vitek Vanecek,66,68,70,63,66,67,70,71,70,65,60,67,52,0,40,71,30,1,"1,500,000$",NHL Link
Nico Daws,66,89,73,78,66,64,65,67,68,62,60,47,39,0,40,70,25,1,"812,500$",NHL Link
Colten Ellis,67,63,68,61,69,68,71,73,73,70,59,43,36,0,40,70,25,0,0$,NHL Link
Pyotr Kochetkov,66,60,64,68,68,65,67,69,69,60,75,66,45,0,40,70,27,2,"2,000,000$",NHL Link
Calvin Pickard,62,70,66,69,63,65,66,68,68,60,60,73,51,0,40,70,34,1,"1,000,000$",NHL Link
Cayden Primeau,65,85,70,74,66,70,65,66,68,60,60,50,40,0,40,70,26,1,"775,000$",NHL Link
Clay Stevenson,70,84,67,74,69,62,69,69,67,65,60,46,36,0,40,70,27,2,"775,000$",NHL Link
Pheonix Copley,63,78,64,76,61,65,63,66,66,60,60,67,41,0,40,69,34,1,"775,000$",NHL Link
Ivan Fedotov,67,89,75,89,65,70,64,65,60,35,61,49,37,0,40,69,29,1,"3,275,000$",NHL Link
Dylan Garand,72,83,66,53,70,62,71,70,70,72,57,43,36,0,40,69,24,0,0$,NHL Link
Carl Lindbom (R),63,86,67,63,68,71,69,70,68,60,60,40,36,0,40,69,23,0,0$,NHL Link
Trent Miner,71,80,63,61,70,62,69,69,69,68,67,43,36,0,40,69,25,0,0$,NHL Link
Petr Mrazek,60,58,63,67,61,63,61,63,65,60,60,91,71,0,40,69,34,1,"4,250,000$",NHL Link
Sergei Murashov (R),68,86,68,65,68,72,68,68,66,60,60,39,36,0,40,69,22,0,0$,NHL Link
Cooper Black,63,85,72,89,63,71,64,65,61,36,54,41,35,0,40,68,25,0,0$,NHL Link
Drew Commesso,69,83,67,62,69,62,66,67,68,64,60,42,36,0,40,68,23,0,0$,NHL Link
Devon Levi,66,93,75,61,63,74,68,66,68,46,62,45,38,0,40,68,24,2,"812,500$",NHL Link
Leevi Merilainen,64,83,69,68,64,67,66,67,67,60,60,44,38,0,40,68,23,1,"1,050,000$",NHL Link
Matt Tomkins,65,85,72,73,65,71,66,65,64,36,39,51,36,0,40,68,32,0,0$,NHL Link
Marcus Hogberg,60,77,62,86,60,60,62,62,62,60,60,56,40,0,40,67,31,1,"775,000$",NHL Link
Niklas Kokko,63,82,64,72,60,65,63,65,66,65,62,40,36,0,40,67,22,0,0$,NHL Link
Thomas Milic (R),67,87,70,56,65,69,66,69,66,60,60,40,36,0,40,67,23,0,0$,NHL Link
Laurent Brossoit,60,74,60,74,60,60,60,60,60,60,60,75,46,0,40,66,33,1,"3,300,000$",NHL Link
Spencer Martin,60,73,62,70,60,61,61,62,64,60,60,57,41,0,40,66,31,2,"775,000$",NHL Link
Jiri Patera,62,76,61,78,61,60,63,61,63,60,60,48,36,0,40,66,27,0,0$,NHL Link
Vadim Zherenko,59,85,69,74,63,63,59,61,65,65,45,45,35,0,40,66,25,0,0$,NHL Link
Artur Akhtyamov,60,83,67,60,60,67,65,63,65,60,60,42,36,0,40,65,24,0,0$,NHL Link
Kaapo Kahkonen,57,82,68,76,56,65,60,59,57,54,70,54,46,0,40,65,29,1,"1,150,000$",NHL Link
Erik Portillo,58,75,61,89,59,61,59,59,58,56,45,44,36,0,40,65,25,2,"783,333$",NHL Link
Michal Postava (R),64,71,56,72,70,62,67,62,64,42,54,41,35,0,40,65,24,0,0$,NHL Link
Hunter Shepard,60,67,60,74,61,60,60,62,61,60,60,51,36,0,40,65,30,0,0$,NHL Link
Mads Sogaard,60,74,61,84,60,61,60,60,60,60,60,47,38,0,40,65,25,1,"775,000$",NHL Link
Aleksei Kolosov,60,85,69,58,60,61,63,60,60,60,60,42,37,0,40,64,24,0,0$,NHL Link
Cal Petersen,63,78,63,64,59,59,61,63,61,35,53,61,44,0,40,64,31,1,"775,000$",NHL Link
Vyacheslav Buteyets (R),60,54,60,70,60,60,62,62,61,60,60,41,36,0,40,63,24,0,0$,NHL Link
Calle Clang,61,80,65,68,59,64,59,58,58,35,67,43,35,0,40,62,24,0,0$,NHL Link
Jakub Malek (R),62,76,61,72,64,58,60,59,60,35,59,40,35,0,40,62,24,0,0$,NHL Link
Henrik Tikkanen,61,74,59,89,55,59,58,57,57,35,57,42,35,0,40,62,25,0,0$,NHL Link
Matt Villalta,55,78,63,72,60,60,59,54,55,54,58,46,36,0,40,62,27,0,0$,NHL Link
Joel Blomqvist,62,72,58,63,60,58,58,59,55,58,35,43,36,0,40,61,24,0,0$,NHL Link
Gabriel Carriere,61,76,61,69,59,58,59,60,56,35,39,42,35,0,40,61,25,0,0$,NHL Link
Domenic DiVincentiis (R),55,78,63,67,59,58,61,57,62,35,43,39,35,0,40,61,22,0,0$,NHL Link
Ryan Fanti,62,73,58,72,64,56,56,58,56,36,54,43,35,0,40,61,26,0,0$,NHL Link
Jaxson Stauber,59,80,66,63,57,61,56,56,57,43,46,47,36,0,40,61,27,0,0$,NHL Link
Samuel Hlavaj,57,68,54,83,54,50,55,55,53,62,43,41,35,0,40,60,25,0,0$,NHL Link
Isak Posch (R),60,73,60,77,58,58,53,55,51,43,56,41,35,0,40,60,24,0,0$,NHL Link
Georgi Romanov,56,73,57,82,55,52,53,57,51,54,35,46,36,0,40,60,26,0,0$,NHL Link
Magnus Chrona,59,71,56,88,54,51,52,53,51,35,37,45,36,0,40,59,25,0,0$,NHL Link
Ivan Prosvetov,50,71,56,80,53,52,54,54,50,52,54,50,37,0,40,59,27,1,"950,000$",NHL Link
Simon Zajicek,62,68,53,65,60,54,53,58,57,48,35,41,35,0,40,59,25,0,0$,NHL Link
Carson Bjarnason (R),53,77,62,79,56,56,50,54,49,40,80,37,35,0,40,58,20,0,0$,NHL Link
Louis Domingue,54,62,47,76,53,48,47,52,51,35,54,71,47,0,40,57,34,0,0$,NHL Link
Kyle Keyser,60,63,47,63,59,49,57,57,53,39,35,48,35,0,40,57,27,0,0$,NHL Link
Zach Sawchenko,54,74,59,61,56,55,52,53,48,41,35,50,36,0,40,57,28,0,0$,NHL Link
Kirill Gerasimyuk (R),55,66,50,62,56,52,51,54,57,35,56,39,35,0,40,56,22,0,0$,NHL Link
Mitch Gibson,59,69,55,62,53,51,51,53,52,36,52,47,35,0,40,56,27,0,0$,NHL Link
Jon Gillies,51,53,38,89,53,40,49,49,51,45,35,58,38,0,40,56,32,0,0$,NHL Link
Amir Miftakhov,52,73,59,59,58,56,52,53,52,35,35,42,35,0,40,56,26,0,0$,NHL Link
Jakub Skarek,52,67,52,75,56,53,53,47,49,35,50,45,36,0,40,56,26,1,"775,000$",NHL Link
Arno Tiefensee (R),55,67,51,81,53,51,51,50,54,35,43,40,35,0,40,56,24,0,0$,NHL Link
Connor Ungar (R),58,61,47,72,53,49,55,51,51,40,54,40,35,0,40,56,24,0,0$,NHL Link
Semyon Varlamov,46,52,37,74,51,37,44,45,44,43,35,99,85,0,40,56,38,2,"2,750,000$",NHL Link
Stanislav Berezhnoy (R),48,63,49,83,50,44,48,46,44,62,35,40,35,0,40,55,23,0,0$,NHL Link
Carter Gylander,56,57,42,75,52,45,52,52,49,53,42,41,35,0,40,55,25,0,0$,NHL Link
Jack LaFontaine,54,54,39,77,51,41,49,47,53,42,35,49,36,0,40,54,28,0,0$,NHL Link
Isaiah Saville,54,57,42,65,51,45,51,51,48,38,45,45,35,0,40,53,25,0,0$,NHL Link
Jeremy Smith,51,54,39,61,53,38,43,49,49,46,43,68,36,0,40,53,37,0,0$,NHL Link
Ty Young (R),48,64,50,65,54,47,48,51,48,35,51,38,35,0,40,53,21,0,0$,NHL Link
Will Cranley (R),52,58,43,70,53,43,44,48,44,43,55,40,35,0,40,52,24,0,0$,NHL Link
Jackson Parsons (R),49,62,46,71,49,45,45,51,49,35,35,38,35,0,40,52,21,0,0$,NHL Link
William Rousseau (R),52,60,44,62,56,41,47,46,51,47,39,39,35,0,40,52,23,0,0$,NHL Link
Owen Say,47,66,50,64,51,46,51,46,48,35,38,42,35,0,40,52,25,0,0$,NHL Link
Dustin Tokarski,45,52,36,66,50,36,48,46,43,41,35,75,42,0,40,52,36,0,0$,NHL Link
Jesper Vikman (R),46,65,51,78,52,47,46,43,43,35,42,41,35,0,40,52,24,0,0$,NHL Link
Ken Appleby,49,52,37,80,48,37,43,43,46,37,35,57,36,0,40,51,31,0,0$,NHL Link
Garin Bjorklund (R),47,64,49,60,50,45,44,49,48,40,54,41,35,0,40,51,24,0,0$,NHL Link
Talyn Boyko (R),51,54,39,88,50,36,46,42,43,44,35,40,35,0,40,51,23,0,0$,NHL Link
Luke Cavallin,50,57,42,68,51,43,46,48,43,37,58,41,35,0,40,51,25,0,0$,NHL Link
Ethan Haider,50,51,36,72,50,36,49,44,47,46,35,41,35,0,40,51,24,0,0$,NHL Link
Nolan Lalonde (R),52,51,35,68,53,35,48,48,44,55,35,38,35,0,40,51,22,0,0$,NHL Link
Connor G Murphy,47,56,40,76,49,39,42,47,47,36,35,44,35,0,40,51,27,0,0$,NHL Link
Hampton Slukynsky (R),52,52,37,63,53,37,49,50,47,46,35,37,35,0,40,51,20,0,0$,NHL Link
Tomas Suchanek (R),51,63,48,59,51,44,45,48,48,35,37,39,35,0,40,51,23,0,0$,NHL Link
Cameron Whitehead (R),49,64,50,70,48,45,42,42,44,40,45,39,35,0,40,51,23,0,0$,NHL Link
Owen Flores (R),54,54,39,68,51,39,45,46,45,41,46,38,35,0,40,50,22,0,0$,NHL Link
Michael Hrabal (R),45,54,39,89,45,39,45,44,40,44,35,37,35,0,40,50,21,0,0$,NHL Link
Aku Koskenvuo (R),50,58,41,76,50,40,46,44,44,35,49,39,35,0,40,50,23,0,0$,NHL Link
Kevin Mandolese,51,52,37,68,49,37,45,44,49,42,35,46,36,0,40,50,25,0,0$,NHL Link
Riley Mercer (R),48,57,42,71,50,42,44,46,47,35,53,38,35,0,40,50,22,0,0$,NHL Link
Olivier Rodrigue,50,58,43,57,49,41,48,47,46,35,53,44,36,0,40,50,25,0,0$,NHL Link
Logan Terness (R),48,52,37,62,51,37,47,46,50,44,35,40,35,0,40,50,23,0,0$,NHL Link
Callum Tung (R),48,63,48,72,49,45,42,41,40,35,35,39,35,0,40,50,22,0,0$,NHL Link
Filip Larsson,45,58,42,68,46,40,40,45,43,35,35,44,35,0,40,49,27,0,0$,NHL Link
Topias Leinonen (R),48,57,41,89,48,39,37,40,38,35,35,38,35,0,40,49,22,0,0$,NHL Link
Maxim Pavlenko (R),50,53,38,66,45,40,45,47,47,37,35,40,35,0,40,49,24,0,0$,NHL Link
Vyacheslav Peksa (R),45,60,44,71,47,41,42,39,44,35,65,40,35,0,40,49,23,0,0$,NHL Link
Yaniv Perets,50,54,39,59,52,39,44,46,45,36,35,45,36,0,40,49,26,0,0$,NHL Link
Jeremy Brodeur,43,51,36,63,45,35,45,43,45,38,35,46,35,0,40,48,29,0,0$,NHL Link
Alexandar Georgiyev,44,52,37,57,44,36,44,42,38,35,35,69,60,0,40,48,30,1,"825,000$",NHL Link
Ruslan Khazheyev (R),47,51,36,76,48,36,43,41,39,37,43,38,35,0,40,48,21,0,0$,NHL Link
Scott Ratzlaff (R),47,61,46,59,47,43,45,42,42,35,45,37,35,0,40,48,21,0,0$,NHL Link
Kevin Reidler (R),44,52,37,83,45,37,41,42,37,35,35,38,35,0,40,48,21,0,0$,NHL Link
Matt Davis,47,52,37,65,41,37,41,43,44,35,35,41,35,0,40,47,25,0,0$,NHL Link
Parker Gahagen,44,56,41,68,43,39,38,42,41,35,35,49,35,0,40,47,33,0,0$,NHL Link
Adam Gajan (R),42,51,36,68,47,35,43,41,44,40,35,38,35,0,40,47,22,0,0$,NHL Link
Damian Clara (R),42,53,38,88,40,37,38,37,36,35,35,37,35,0,40,46,21,0,0$,NHL Link
Hunter Jones,43,53,38,83,39,36,35,37,35,35,35,42,35,0,40,46,25,0,0$,NHL Link
Jonathan Lemieux,45,52,36,65,43,35,41,40,42,35,35,41,35,0,40,46,25,0,0$,NHL Link
Isaac Poulter,47,53,37,60,47,37,39,41,42,35,35,44,35,0,40,46,24,0,0$,NHL Link
T.J. Semptimphelter (R),46,52,37,63,45,36,44,41,39,35,35,40,35,0,40,46,24,0,0$,NHL Link
Trey Augustine (R),42,52,36,65,44,35,36,40,42,35,35,37,35,0,40,45,21,0,0$,NHL Link
Joshua Kotai (R),48,51,36,53,50,35,39,39,43,37,35,39,35,0,40,45,23,0,0$,NHL Link
Ben Kraws,43,53,38,77,38,36,37,35,38,35,35,42,35,0,40,45,25,0,0$,NHL Link
Kaidan Mbereko (R),44,51,36,55,42,35,41,42,40,35,35,39,35,0,40,45,22,0,0$,NHL Link
Nikita Quapp (R),45,53,38,77,39,37,36,37,36,35,35,39,35,0,40,45,23,0,0$,NHL Link
Mitchell Weeks,37,52,36,68,39,35,38,37,39,35,35,41,35,0,40,44,25,0,0$,NHL Link
Cameron Rowe,35,51,35,79,35,35,35,35,35,35,35,41,35,0,40,43,25,0,0$,NHL Link
Mattias Sholl,43,51,36,51,44,35,37,35,35,35,35,42,35,0,40,43,25,0,0$,NHL Link
Harrison Meneghin (R),35,51,35,66,35,35,36,36,35,35,35,38,35,0,40,42,21,0,0$,NHL Link
CJ Kier (R),37,51,35,51,35,35,36,36,35,35,35,38,35,0,40,41,22,0,0$,NHL Link
Chase Wutzke (R),36,51,36,54,35,35,37,35,36,35,35,36,35,0,40,41,19,0,0$,NHL Link
